id,name,english_name,type,org,group_name,photo_url,twitter,video_count,subscriber_count,clip_count,published_at,inactive,kind,main_idol_ids_json,topic_idol_ids_json,linked_idol_ids_json,updated_at
UCt9H_RpQzhxzlyBxFqrdHqA,FUWAMOCO Ch. hololive-EN,Fuwawa & Mococo Abyssgard,vtuber,Hololive,English -Advent-,https://yt3.ggpht.com/eC6k63zvyZma-t4NwtxhKXaP7smdQuXM6KA9r8i-ZLxnfSh5ngfAPibEAwtbFy4QEGnt_lY6lA=s800-c-k-c0x00ffffff-no-rj,fuwamoco_en,977,1330000,12074,2023-05-12T04:38:41.661Z,0,idol,"[""fuwawa-abyssgard"",""mococo-abyssgard""]",[],"[""fuwawa-abyssgard"",""mococo-abyssgard""]",2026-07-01T22:28:55.536Z
UCvInZx9h3jC2JzsIzoOebWg,Flare Ch. 不知火フレア,Shiranui Flare,vtuber,Hololive,3rd Generation (Fantasy),https://yt3.ggpht.com/XGJE8dQHKGyKma2oLZM-oZxF2c5OnQsjQx68tTowiPfh7gI2cHhP8REzXC7exvw2ri5QxFxEA-4=s800-c-k-c0x00ffffff-no-rj,shiranuiflare,1816,1150000,15306,2019-07-26T12:03:54.000Z,0,idol,"[""shiranui-flare""]",[],"[""shiranui-flare""]",2026-07-01T22:28:55.536Z
UCoSrY_IQQVpmIRZ9Xf-y93g,Gawr Gura Ch. hololive-EN,Gawr Gura,vtuber,Hololive,English -Myth-,https://yt3.ggpht.com/6BCfAqi9yIpZbHLbw9BAWySvB3XZf9r8jFqudO5nSOsHoGzLhlKrm1M1uuMCRabi_pXGDzl7=s800-c-k-c0x00ffffff-no-rj,gawrgura,564,4710000,23677,2020-07-16T06:25:20.801Z,0,idol,"[""gawr-gura""]",[],"[""gawr-gura""]",2026-07-01T22:28:55.536Z
UCDHABijvPBnJm7F-KlNME3w,Gigi Murin Ch. hololive-EN,Gigi Murin,vtuber,Hololive,English -Justice-,https://yt3.ggpht.com/VTrjE6XoUY0QRq9VgwPIADiUA1S2FYPvJ7qRpUpgix8JLiU-mjKwEtADjS35w9C21Yarxk9kKA=s800-c-k-c0x00ffffff-no-rj,gigimurin,496,578000,4919,,0,idol,"[""gigi-murin""]",[],"[""gigi-murin""]",2026-07-01T22:28:55.536Z
UC1CfXB_kRs3C-zaeTG3oGyg,HAACHAMA Ch 赤井はあと,Akai Haato,vtuber,Hololive,1st Generation,https://yt3.ggpht.com/jxI6FmNKDpYKXB0puyLhB5gq4JgWFvRT9Rr2C_d3hFT1q0SSOHh3QIUfvSxfTHupTXFnleqI=s800-c-k-c0x00ffffff-no-rj,akaihaato,1712,1580000,8252,,0,idol,"[""akai-haato""]",[],"[""akai-haato""]",2026-07-01T22:28:55.536Z
UC1iA6_NT4mtAcIII6ygrvCw,Hajime Ch. 轟はじめ ‐ ReGLOSS,Todoroki Hajime,vtuber,Hololive,DEV_IS ReGLOSS,https://yt3.ggpht.com/6vJDLc-py0cRcuDAgukgsE0SXbuia7AupgIuofdQCAidvdT_fcoy0ib6ssKI7rQO_iZO0Tb40Q=s800-c-k-c0x00ffffff-no-rj,todoroki_hajime,1048,1210000,4872,,0,idol,"[""todoroki-hajime""]",[],"[""todoroki-hajime""]",2026-07-01T22:28:55.536Z
UCgmPnx-EEeOrZSg5Tiw7ZRQ,Hakos Baelz Ch. hololive-EN,Hakos Baelz,vtuber,Hololive,English -Promise-,https://yt3.ggpht.com/sFBVGkudEnu_MCH23nJdS2oTnOzd9M7e6Mgki5JBhbj4PnjWGgG2hNmW2Vozw5rr8-K0s-DpaPs=s800-c-k-c0x00ffffff-no-rj,hakosbaelz,1297,1170000,16968,,0,idol,"[""hakos-baelz""]",[],"[""hakos-baelz""]",2026-07-01T22:28:55.536Z
UC8rcEBzJSleTkf_-agPM20g,IRyS Ch. hololive-EN,IRyS,vtuber,Hololive,English -Promise-,https://yt3.ggpht.com/zztv3u0fMtIbGu5nLjKPTwR_8-U0nSq80kmWW0xBpc42tA6dFHlDb_TG3VjSPLNFBuAIZtaFrw=s800-c-k-c0x00ffffff-no-rj,irys_en,805,1130000,12097,,0,idol,"[""irys""]",[],"[""irys""]",2026-07-01T22:28:55.536Z
UC_vMYWcDjmfdpH6r4TTn1MQ,Iroha ch. 風真いろは - holoX -,Kazama Iroha,vtuber,Hololive,6th Generation -holoX-,https://yt3.ggpht.com/gq-oA6rRB25b8hLDHhsLqcU1ZSmuuEtIDQabDoaZV1NS-rwAzOit4RdQHz5Afh3mN4FwYnPIPg=s800-c-k-c0x00ffffff-no-rj,kazamairohach,1202,1140000,10537,2021-09-12T06:16:48.954Z,0,idol,"[""kazama-iroha""]",[],"[""kazama-iroha""]",2026-07-01T22:28:55.536Z
UCZLZ8Jjx_RN2CXloOmgTHVg,Kaela Kovalskia Ch. hololive-ID,Kaela Kovalskia,vtuber,Hololive,Indonesia 3rd Gen (holoh3ro),https://yt3.ggpht.com/2jGAglj5aTcUWO7WRNfq54KV3ipKblUzxI6fAKSjAfMw6J9Qqb6NbzbJA2i0t4cKgUR7SPdWC_w=s800-c-k-c0x00ffffff-no-rj,kaelakovalskia,1672,896000,9814,2022-01-27T09:03:18.536Z,0,idol,"[""kaela-kovalskia""]",[],"[""kaela-kovalskia""]",2026-07-01T22:28:55.536Z
UCWQtYtq9EOB4-I5P-3fh8lA,Kanade Ch. 音乃瀬奏 ‐ ReGLOSS,Otonose Kanade,vtuber,Hololive,DEV_IS ReGLOSS,https://yt3.ggpht.com/3Naw3X40CVtAsDMP8SFCPIpsfVjP2iUID4oAF8PJgA1ob4akPZ_SQC3LlWAya_kE2INeaLtHUQ=s800-c-k-c0x00ffffff-no-rj,otonosekanade,898,806000,6751,2023-07-21T06:31:29.167Z,0,idol,"[""otonose-kanade""]",[],"[""otonose-kanade""]",2026-07-01T22:28:55.536Z
UCZlDXzGoo7d44bwdNObFacg,Kanata Ch. 天音かなた,Amane Kanata,vtuber,Hololive,4th Generation (holoForce),https://yt3.ggpht.com/KjtzUgvj7v4socyPBkwZVlRJC9YU7Seka_a2lYf-LuBgc_YXXknzaR--5rbtYR46Q-JAWcR-=s800-c-k-c0x00ffffff-no-rj,amanekanatach,2014,1730000,18867,2019-12-04T09:13:34.410Z,0,idol,"[""amane-kanata""]",[],"[""amane-kanata""]",2026-07-01T22:28:55.536Z
UCjLEmnpCNeisMxy134KPwWw,Kobo Kanaeru Ch. hololive-ID,Kobo Kanaeru,vtuber,Hololive,Indonesia 3rd Gen (holoh3ro),https://yt3.ggpht.com/XRCP2PC-lvvielp04Eq8KyBzgd3_bFc_DNfptN5s-ftd1v6SadGuMChY6Jm3elaqaK7xwE1B=s800-c-k-c0x00ffffff-no-rj,kobokanaeru,759,2760000,6393,2022-01-27T08:17:00.285Z,0,idol,"[""kobo-kanaeru""]",[],"[""kobo-kanaeru""]",2026-07-01T22:28:55.536Z
UChAnqc_AY5_I3Px5dig3X1Q,Korone Ch. 戌神ころね,Inugami Korone,vtuber,Hololive,GAMERS,https://yt3.ggpht.com/ytc/AIdro_nrS6tFctvjyWv1mKzKBIetHJBfpqwHOpvRFc3KU2P_5yc=s800-c-k-c0x00ffffff-no-rj,inugamikorone,1465,2270000,21701,2019-03-25T12:44:03.000Z,0,idol,"[""inugami-korone""]",[],"[""inugami-korone""]",2026-07-01T22:28:55.536Z
UC9p_lqQ0FEDz327Vgf5JwqA,Koseki Bijou Ch. hololive-EN,Koseki Bijou,vtuber,Hololive,English -Advent-,https://yt3.ggpht.com/Wk5Mbh-5z_dbHTp7Hyz7OSd70Cz4GknlZOqiI2J_sIsnbm_YjWN2vb39XyrXBYj-uiMsOi-95w=s800-c-k-c0x00ffffff-no-rj,KosekiBijou,863,963000,13898,,0,idol,"[""koseki-bijou""]",[],"[""koseki-bijou""]",2026-07-01T22:28:55.536Z
UC6eWCld0KwmyHFbAqK3V-Rw,Koyori ch. 博衣こより - holoX -,Hakui Koyori,vtuber,Hololive,6th Generation -holoX-,https://yt3.ggpht.com/2PoZqbHNPXXxjPRgtAuDGY_p6use0QRNk2rN0oXPeE9NtrQGuTuD1psw6sCFDGy8fO_3JwjQPxw=s800-c-k-c0x00ffffff-no-rj,hakuikoyori,3296,1350000,19639,,0,idol,"[""hakui-koyori""]",[],"[""hakui-koyori""]",2026-07-01T22:28:55.536Z
UCYz_5n-uDuChHtLo7My1HnQ,Kureiji Ollie Ch. hololive-ID,Kureiji Ollie,vtuber,Hololive,Indonesia 2nd Gen (holoro),https://yt3.ggpht.com/fCQ1LUhWHfIGkCLeZl2BG_uQhQ6IqxJ3AJJxFbG6uEpLJ1hlJ2JOoBG7FJiAREeDeEVtwJoZKA=s800-c-k-c0x00ffffff-no-rj,kureijiollie,1693,1400000,10150,2020-09-01T06:59:09.444Z,0,idol,"[""kureiji-ollie""]",[],"[""kureiji-ollie""]",2026-07-01T22:28:55.536Z
UCFKOVgVbGmX65RxO3EtH3iw,Lamy Ch. 雪花ラミィ,Yukihana Lamy,vtuber,Hololive,5th Generation (holoFive),https://yt3.ggpht.com/ytc/AIdro_nHPsjV8KMncrIzZh7NPGaG8xzAgzN8Vf9YAj12dRN7sCc=s800-c-k-c0x00ffffff-no-rj,yukihanalamy,1827,1370000,19220,,0,idol,"[""yukihana-lamy""]",[],"[""yukihana-lamy""]",2026-07-01T22:28:55.536Z
UCENwRMx5Yh42zWpzURebzTw,Laplus ch. ラプラス・ダークネス - holoX -,La+ Darknesss,vtuber,Hololive,6th Generation -holoX-,https://yt3.ggpht.com/6Y5lj4DhikLBo0UqIZ1dT3-D3aYXVPbxUgNTyYiyE_Se8AVxkGAn05D3oc1y3whpzDu-CzEQ=s800-c-k-c0x00ffffff-no-rj,LaplusDarknesss,965,1560000,9119,,0,idol,"[""la-darknesss""]",[],"[""la-darknesss""]",2026-07-01T22:28:55.536Z
UCs9_O1tRPMQTHQ-N_L6FU2g,Lui ch. 鷹嶺ルイ - holoX -,Takane Lui,vtuber,Hololive,6th Generation -holoX-,https://yt3.ggpht.com/hoR2TgfGwUZ4mbNY07Ygu88wPLY0JcArmFKZDTwaPOtJmK78gdIg3dmp87NZM8SRBCpxlv02hg=s800-c-k-c0x00ffffff-no-rj,takanelui,2250,1110000,11785,2021-09-12T03:15:45.362Z,0,idol,"[""takane-lui""]",[],"[""takane-lui""]",2026-07-01T22:28:55.536Z
UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,Himemori Luna,vtuber,Hololive,4th Generation (holoForce),https://yt3.ggpht.com/05zupy7ai3DW0mEmY3tSgkb4CGjHadAXG0bs_PSzg09l0_5MInPrG4Bh-ZRlAWcPncOe9cnQkQ=s800-c-k-c0x00ffffff-no-rj,himemoriluna,1605,1150000,12423,,0,idol,"[""himemori-luna""]",[],"[""himemori-luna""]",2026-07-01T22:28:55.536Z
UCCzUftO8KOVkV4wQG1vkUvg,Marine Ch. 宝鐘マリン,Houshou Marine,vtuber,Hololive,3rd Generation (Fantasy),https://yt3.ggpht.com/RnFYoR_VkEZZ4OGRJz2cPXem1iRqMNzcGVp5LIxTRqhDu4vqckc83DBrVi2uwxiCPWEmmH6vSJk=s800-c-k-c0x00ffffff-no-rj,houshoumarine,1678,4370000,29648,,0,idol,"[""houshou-marine""]",[],"[""houshou-marine""]",2026-07-01T22:28:55.536Z
UCQ0UDLQCjY0rmuxCDE38FGg,Matsuri Channel 夏色まつり,Natsuiro Matsuri,vtuber,Hololive,1st Generation,https://yt3.ggpht.com/LZBvU0s_S-xi7fHmeab_iA8ztfGimxzisUBMODGKaIEx3r3R-tIDReiX3SlmbH2showigElJ=s800-c-k-c0x00ffffff-no-rj,natsuiromatsuri,1832,1580000,12401,2018-05-25T06:58:58.000Z,0,idol,"[""natsuiro-matsuri""]",[],"[""natsuiro-matsuri""]",2026-07-01T22:28:55.536Z
UC-hM6YJuNYVAmUWxeIr9FeA,Miko Ch. さくらみこ,Sakura Miko,vtuber,Hololive,0th Generation,https://yt3.ggpht.com/b8EKl_i-e2dinoparyhUJEaRhInlSWwm-dZX0oIq-x1mUvQga530G_PIdutlSNkGKEAyX9aaBQ=s800-c-k-c0x00ffffff-no-rj,sakuramiko35,2247,2430000,57829,2018-04-25T02:45:48.000Z,0,idol,"[""sakuramiko""]",[],"[""sakuramiko""]",2026-07-01T22:28:55.536Z
UCp-5t9SrOQwXMU7iIjQfARg,Mio Channel 大神ミオ,Ookami Mio,vtuber,Hololive,GAMERS,https://yt3.ggpht.com/JV8VdQFA7eZk5H1cRxHyIdLKQ5wD6EBywjxLzrne2EpY9LSiVgtapvh0iQA6plVNxdIKNxK0NRU=s800-c-k-c0x00ffffff-no-rj,ookamimio,1571,1340000,14831,2018-12-01T08:52:15.000Z,0,idol,"[""ookami-mio""]",[],"[""ookami-mio""]",2026-07-01T22:28:55.536Z
